REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Year,Value
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2004,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2004,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2004,42.36
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2004,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2004,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2004,29.78
ZAF,South Africa,ITU_DH_TRAF_FIX_BB,Fixed-broadband internet traffic,2004,0.33
ZAF,South Africa,ITU_DH_TRAF_MOB_BB,Mobile-broadband internet traffic within the country,2004,0.0389774
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2005,29.2596
ZAF,South Africa,ITU_DH_COMP_FIB,Competition in Fiber (ITU),2005,2.0
ZAF,South Africa,ITU_DH_COMP_INT_GTW,Competition in International Gateways (ITU),2005,1.0
ZAF,South Africa,ITU_DH_COMP_INT_SER,Competition in Internet Services (ITU),2005,2.0
ZAF,South Africa,ITU_DH_COMP_MOB_BB,Competition in Mobile Broadband (ITU),2005,2.0
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2005,0.333986
ZAF,South Africa,ITU_DH_FIX_SUB_PER_100,Fixed-telephone subscriptions per 100 inhabitants (ITU),2005,9.8929
ZAF,South Africa,ITU_DH_FIX_TEL_OR_MOB,Percentage of households with fixed-line telephone or mobile (ITU),2005,17.9255
ZAF,South Africa,ITU_DH_HH_COMP,Percentage of households with a computer (ITU),2005,13.0
ZAF,South Africa,ITU_DH_HH_INT,Percentage of households with internet access at home (ITU),2005,3.0
ZAF,South Africa,ITU_DH_HH_RAD,Percentage of households with a radio (ITU),2005,79.0848
ZAF,South Africa,ITU_DH_HH_TV,Percentage of households with TV (ITU),2005,60.5034
ZAF,South Africa,ITU_DH_INT_BAND_PER_CAP,International bandwidth usage - per capita,2005,17.8117
ZAF,South Africa,ITU_DH_INT_BAND_PER_INT_USR,International bandwidth usage - per internet user,2005,237.852
ZAF,South Africa,ITU_DH_INT_CONN_BAND,International bandwidth usage,2005,881.5
ZAF,South Africa,ITU_DH_INT_CONN_BAND_CAP,Lit/equipped international bandwidth capacity,2005,934578.0
ZAF,South Africa,ITU_DH_INT_USER_PT,Percentage of individuals using the internet (ITU),2005,7.48854
ZAF,South Africa,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),2005,68.6198
ZAF,South Africa,ITU_DH_POP_COV_2G,"Population coverage, at least 2G",2005,96.0
ZAF,South Africa,ITU_DH_POP_COV_3G,"Population coverage, at least 3G",2005,84.25
ZAF,South Africa,ITU_DH_POP_COV_4G,"Population coverage, at least 4G",2005,5.0
ZAF,South Africa,ITU_DH_POP_COV_5G,"Population coverage, at least 5G",2005,0.96
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2005,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2005,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2005,48.19
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2005,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2005,46.57
ZAF,South Africa,ITU_DH_PRI_FIX_BB_5G,Price of a fixed broadband basket 5GB (ITU),2005,46.57
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2005,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2005,69.36
ZAF,South Africa,ITU_DH_PRI_HU_VD,Price of a high usage voice and data bundle (ITU),2005,69.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2005,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2005,42.36
ZAF,South Africa,ITU_DH_PRI_LU_MOB,Price of a mobile-cellular basket low usage (ITU),2005,42.36
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2005,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2005,29.78
ZAF,South Africa,ITU_DH_PRI_LU_VD,Price of a low usage voice and data bundle (ITU),2005,29.78
ZAF,South Africa,ITU_DH_TRAF_FIX_BB,Fixed-broadband internet traffic,2005,0.33
ZAF,South Africa,ITU_DH_TRAF_MOB_BB,Mobile-broadband internet traffic within the country,2005,0.0389774
ZAF,South Africa,ITU_DH_ACT_MOB_PER_100,Active mobile-broadband subscriptions per 100 inhabitants (ITU),2006,29.2596
ZAF,South Africa,ITU_DH_COMP_FIB,Competition in Fiber (ITU),2006,2.0
ZAF,South Africa,ITU_DH_COMP_INT_GTW,Competition in International Gateways (ITU),2006,1.0
ZAF,South Africa,ITU_DH_COMP_INT_SER,Competition in Internet Services (ITU),2006,2.0
ZAF,South Africa,ITU_DH_COMP_MOB_BB,Competition in Mobile Broadband (ITU),2006,2.0
ZAF,South Africa,ITU_DH_FIX_BR_SUB_PER_100,Fixed-broadband subscriptions per 100 inhabitants (ITU),2006,0.670247
ZAF,South Africa,ITU_DH_FIX_SUB_PER_100,Fixed-telephone subscriptions per 100 inhabitants (ITU),2006,9.77834
ZAF,South Africa,ITU_DH_FIX_TEL_OR_MOB,Percentage of households with fixed-line telephone or mobile (ITU),2006,16.9453
ZAF,South Africa,ITU_DH_HH_COMP,Percentage of households with a computer (ITU),2006,13.89
ZAF,South Africa,ITU_DH_HH_INT,Percentage of households with internet access at home (ITU),2006,3.6
ZAF,South Africa,ITU_DH_HH_RAD,Percentage of households with a radio (ITU),2006,78.682
ZAF,South Africa,ITU_DH_HH_TV,Percentage of households with TV (ITU),2006,64.6499
ZAF,South Africa,ITU_DH_INT_BAND_PER_CAP,International bandwidth usage - per capita,2006,49.7017
ZAF,South Africa,ITU_DH_INT_BAND_PER_INT_USR,International bandwidth usage - per internet user,2006,653.356
ZAF,South Africa,ITU_DH_INT_CONN_BAND,International bandwidth usage,2006,2485.0
ZAF,South Africa,ITU_DH_INT_CONN_BAND_CAP,Lit/equipped international bandwidth capacity,2006,934578.0
ZAF,South Africa,ITU_DH_INT_USER_PT,Percentage of individuals using the internet (ITU),2006,7.60714
ZAF,South Africa,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),2006,79.3267
ZAF,South Africa,ITU_DH_POP_COV_2G,"Population coverage, at least 2G",2006,97.1
ZAF,South Africa,ITU_DH_POP_COV_3G,"Population coverage, at least 3G",2006,84.25
ZAF,South Africa,ITU_DH_POP_COV_4G,"Population coverage, at least 4G",2006,5.0
ZAF,South Africa,ITU_DH_POP_COV_5G,"Population coverage, at least 5G",2006,0.96
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2006,48.19
ZAF,South Africa,ITU_DH_PRI_DO_MOB,Price of data-only mobile broadband bundle (ITU),2006,48.19
